Init: GBs in use 1.067, 1.067
Run 246, 0.499979, GBs in use 2.132, 1.068.
Run 247, 0.500042, GBs in use 2.132, 1.068.
Run 248, 0.499946, GBs in use 2.132, 1.068.
Run 249, 0.499963, GBs in use 2.132, 1.068.
Run 250, 0.499957, GBs in use 2.132, 1.068.
Run 251, 0.500042, GBs in use 2.132, 1.068.
Run 252, 0.500081, GBs in use 2.132, 1.068.
Run 253, 0.499984, GBs in use 2.132, 1.068.
Run 254, 0.499988, GBs in use 2.132, 1.068.
Run 255, 0.499982, GBs in use 2.132, 1.068.
Run 256, 0.500051, GBs in use 2.132, 1.068.
Run 257, 0.499997, GBs in use 2.132, 1.068.
Run 258, 0.500038, GBs in use 2.132, 1.068.
Run 259, 0.500019, GBs in use 2.132, 1.068.
Run 260, 0.500005, GBs in use 2.132, 1.068.
Run 261, 0.500048, GBs in use 2.132, 1.068.
Run 262, 0.499927, GBs in use 2.132, 1.068.
Run 263, 0.499975, GBs in use 2.132, 1.068.
Run 264, 0.500012, GBs in use 2.132, 1.068.
Run 265, 0.500011, GBs in use 2.132, 1.068.
Run 266, 0.499999, GBs in use 2.132, 1.068.
Run 267, 0.500052, GBs in use 2.132, 1.068.
Run 268, 0.499971, GBs in use 2.132, 1.068.
Run 269, 0.500012, GBs in use 2.132, 1.068.
Run 270, 0.499986, GBs in use 2.132, 1.068.
Run 271, 0.499981, GBs in use 2.132, 1.068.
Run 272, 0.499982, GBs in use 2.132, 1.068.
Run 273, 0.499990, GBs in use 2.132, 1.068.
Run 274, 0.500005, GBs in use 2.132, 1.068.
Run 275, 0.499984, GBs in use 2.132, 1.068.
Run 276, 0.500011, GBs in use 2.132, 1.068.
Run 277, 0.500005, GBs in use 2.132, 1.068.
Run 278, 0.499984, GBs in use 2.132, 1.068.
Run 279, 0.499985, GBs in use 2.132, 1.068.
Run 280, 0.499967, GBs in use 2.132, 1.068.
Run 281, 0.499971, GBs in use 2.132, 1.068.
Run 282, 0.499992, GBs in use 2.132, 1.068.
Run 283, 0.500029, GBs in use 2.132, 1.068.
Run 284, 0.499959, GBs in use 2.132, 1.068.
Run 285, 0.500008, GBs in use 2.132, 1.068.
Run 286, 0.499959, GBs in use 2.132, 1.068.
Run 287, 0.499979, GBs in use 2.132, 1.068.
Run 288, 0.500043, GBs in use 2.132, 1.068.
Run 289, 0.500006, GBs in use 2.132, 1.068.
Run 290, 0.500025, GBs in use 2.132, 1.068.
Run 291, 0.500015, GBs in use 2.132, 1.068.
Run 292, 0.500085, GBs in use 2.132, 1.068.
Run 293, 0.499937, GBs in use 2.132, 1.068.
Run 294, 0.500085, GBs in use 2.132, 1.068.
Run 295, 0.499993, GBs in use 2.132, 1.068.
Run 296, 0.500023, GBs in use 2.132, 1.068.
Run 297, 0.499979, GBs in use 2.132, 1.068.
Run 298, 0.499989, GBs in use 2.132, 1.068.
Run 299, 0.500030, GBs in use 2.132, 1.068.
Memory GBs in use 2.132
